Sample_input,Actual,Proposed,Traditional
1,2155.401611328125,663.5703662007351,546.8302353602801
1,2072.393798828125,826.9500682221587,726.8936250400602
1,2279.913330078125,1096.5249886419044,835.5180663224858
1,2186.529541015625,938.259033619868,888.1902627578728
1,2508.184814453125,1200.0600048428491,967.798684987249
1,2093.145751953125,1214.8499257383346,906.7824517676438
1,2528.936767578125,1255.8767514030983,1077.7786840670442
1,2228.033447265625,1511.7571353755843,1194.6565958968945
1,2456.304931640625,1661.1043639006182,1278.1058317796346
1,2103.521728515625,1411.9299255257754,1244.6851770318517
1,2165.777587890625,1636.826771670277,1338.8548972607584
1,2186.529541015625,1725.1283421586493,1313.921383648974
1,2217.657470703125,1721.4429609265549,1519.3270727290917
1,2145.025634765625,1509.2320622619395,1647.289417911326
1,2082.769775390625,1816.1662288041898,1599.860809086752
1,2290.289306640625,1599.0187635468103,1622.6739209982243
1,2342.169189453125,1582.9452655682228,1753.0933409934564
1,2248.785400390625,1603.8489824830724,1561.4795922125286
1,2248.785400390625,1567.6090490358781,1667.675828102104
1,2290.289306640625,1641.8474679378185,1717.2130305837798
1,2196.905517578125,1805.931515711339,1697.8662204466875
1,2228.033447265625,1533.3317690954336,1773.2367171485957
1,2342.169189453125,1928.2217369640994,1791.1211660268805
1,2362.921142578125,1798.571136627089,1940.2663743865842
1,2352.545166015625,1965.950358855453,1842.078980235202
1,2217.657470703125,2129.7765636089703,2043.297268007279
1,2300.665283203125,2083.0490099481544,1858.904726165386
1,2051.641845703125,2117.2671412123154,1895.6096297980419
1,2269.537353515625,1985.9273022713435,2014.6211344159456
1,2248.785400390625,1973.857923371693,1936.1044556939396
1,2113.897705078125,2153.666273998869,1907.3613370507153
1,2352.545166015625,2140.444447383171,1982.807599677626
1,2093.145751953125,2155.79923696749,1781.0355281066627
1,2217.657470703125,2404.6328580145955,1672.6727947564948
1,2456.304931640625,2415.126460664688,1970.8364733947055
1,2248.785400390625,2418.661676976312,2026.6209883466659
1,2134.649658203125,2286.0596778024437,1847.9962463109753
1,2134.649658203125,2409.4891704575693,1975.4660874997264
1,2207.281494140625,2386.5975604916002,1964.7276011734498
1,2030.8898925781252,2126.793786668642,2039.7911144761774
1,2248.785400390625,2368.5342620032975,2064.349235412063
1,2217.657470703125,2093.151566434935,1990.5838104997295
1,2300.665283203125,2441.94628661881,2026.8724850471942
1,2300.665283203125,2246.2798943521607,1978.6139251469544
1,2290.289306640625,2033.3514983610528,2064.2341767771773
1,2155.401611328125,2325.293852643366,1961.0314777699355
1,2228.033447265625,2064.055289266711,1988.6975027613728
1,2259.161376953125,2171.962120832843,2074.628308861469
0,1844.1223144531252,2402.8405521364757,2029.4726297397567
0,1781.8664550781252,1986.7216741691584,1892.353306204757
0,1864.8742675781252,2122.2705376555073,1784.7582651895293
0,1563.9709472656252,2050.351827891076,1697.7791556943514
0,1480.9631347656252,1816.777173172829,1550.3441680439198
0,1501.7150878906252,1921.7692072214004,1604.5187640481863
